"","Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Url"
"53",2023,"M'Gladbach","Bundesliga","team",27,27.5,52.8,28,308,2520,28,43,34,77,41,2,4,50,2,41.7,38.6,33.7,72.3,408,897,1.54,1.21,2.75,1.46,2.68,1.49,1.2,2.69,1.38,2.58,"https://fbref.com/en/squads/32f3ee20/Monchengladbach-Stats"
"54",2023,"Mainz 05","Bundesliga","team",26,27.7,45.4,28,308,2520,28,46,30,76,42,4,6,53,1,38.3,33.6,24,57.6,295,995,1.64,1.07,2.71,1.5,2.57,1.37,0.86,2.23,1.2,2.06,"https://fbref.com/en/squads/a224b06a/Mainz-05-Stats"
"55",2023,"Mallorca","La Liga","team",27,28.6,41.8,29,319,2610,29,25,19,44,22,3,4,103,3,25.6,22.3,19.5,41.8,354,755,0.86,0.66,1.52,0.76,1.41,0.88,0.67,1.56,0.77,1.44,"https://fbref.com/en/squads/2aa12281/Mallorca-Stats"
"56",2023,"Manchester City","Premier League","team",22,28,64.8,30,330,2700,30,76,56,132,68,8,8,37,1,63.5,57.5,45.7,103.3,788,1703,2.53,1.87,4.4,2.27,4.13,2.12,1.52,3.64,1.92,3.44,"https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats"
"57",2023,"Manchester Utd","Premier League","team",26,27.6,53.9,30,330,2700,30,44,35,79,42,2,2,63,2,49.3,47.7,38.4,86.1,553,1211,1.47,1.17,2.63,1.4,2.57,1.64,1.28,2.92,1.59,2.87,"https://fbref.com/en/squads/19538871/Manchester-United-Stats"
"58",2023,"Marseille","Ligue 1","team",29,28,56.1,31,341,2790,31,52,32,84,47,5,6,53,4,53.5,49,37.8,86.8,612,1539,1.68,1.03,2.71,1.52,2.55,1.73,1.22,2.95,1.58,2.8,"https://fbref.com/en/squads/5725cc7b/Marseille-Stats"
"59",2023,"Milan","Serie A","team",29,26.7,53.5,30,330,2700,30,46,37,83,43,3,3,80,2,47,44.8,36.9,81.7,623,1214,1.53,1.23,2.77,1.43,2.67,1.57,1.23,2.8,1.49,2.72,"https://fbref.com/en/squads/dc56fe14/Milan-Stats"
"60",2023,"Monaco","Ligue 1","team",27,25.5,49,31,341,2790,31,65,45,110,61,4,7,51,5,52.1,46.5,34.9,81.3,599,1490,2.1,1.45,3.55,1.97,3.42,1.68,1.12,2.8,1.5,2.62,"https://fbref.com/en/squads/fd6114db/Monaco-Stats"
"61",2023,"Montpellier","Ligue 1","team",30,26.7,46.3,31,341,2790,31,46,30,76,41,5,5,57,9,39.6,35.6,26,61.6,437,1033,1.48,0.97,2.45,1.32,2.29,1.28,0.84,2.12,1.15,1.99,"https://fbref.com/en/squads/281b0e73/Montpellier-Stats"
"62",2023,"Monza","Serie A","team",31,27.3,55.3,30,330,2700,30,34,22,56,30,4,4,71,2,36.5,33.4,27.2,60.6,570,1092,1.13,0.73,1.87,1,1.73,1.22,0.91,2.12,1.11,2.02,"https://fbref.com/en/squads/21680aa4/Monza-Stats"
"63",2023,"Nantes","Ligue 1","team",29,27.5,46.7,31,341,2790,31,31,24,55,28,3,5,50,4,35.3,31.5,26.1,57.6,559,1271,1,0.77,1.77,0.9,1.68,1.14,0.84,1.98,1.02,1.86,"https://fbref.com/en/squads/d7a486cd/Nantes-Stats"
"64",2023,"Napoli","Serie A","team",26,27.2,61.7,30,330,2700,30,64,50,114,58,6,7,39,1,53.2,47.7,40.1,87.8,698,1410,2.13,1.67,3.8,1.93,3.6,1.77,1.34,3.11,1.59,2.93,"https://fbref.com/en/squads/d48ad4ff/Napoli-Stats"
"65",2023,"Newcastle Utd","Premier League","team",26,28.1,51.3,30,330,2700,30,46,31,77,42,4,4,51,1,50.4,47.4,38,85.4,517,1243,1.53,1.03,2.57,1.4,2.43,1.68,1.27,2.95,1.58,2.85,"https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats"
"66",2023,"Nice","Ligue 1","team",32,27.3,51.1,31,341,2790,31,38,28,66,32,6,7,44,3,42.7,37.2,29.3,66.5,597,1209,1.23,0.9,2.13,1.03,1.94,1.38,0.94,2.32,1.2,2.15,"https://fbref.com/en/squads/132ebc33/Nice-Stats"
